mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_solver;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.06721553802490235;0.004834795006869238;0.005675506591796875;0.000955202897036787;0.1;svd;{'alpha': 0.1, 'solver': 'svd'};0.561785887100593;0.5674301890745764;0.5460238551049821;0.5693600156421799;0.5685408930079474;0.5626281679860557;0.008714931324192633;3
0.025017833709716795;0.0020350508538085144;0.004552030563354492;0.00015643904423910584;0.1;cholesky;{'alpha': 0.1, 'solver': 'cholesky'};0.561785887100593;0.5674301890745764;0.5460238551049821;0.56936001564218;0.5685408930079473;0.5626281679860556;0.008714931324192635;4
0.04842243194580078;0.0026651403911289546;0.006203842163085937;0.002481950345770604;0.1;lsqr;{'alpha': 0.1, 'solver': 'lsqr'};0.5617858870342622;0.5674299721894065;0.5460239947839594;0.5693599027490166;0.5685407898773901;0.5626281093268071;0.008714822764300193;6
0.03773689270019531;0.0011564231618820006;0.00692596435546875;0.004517310808630467;0.1;sparse_cg;{'alpha': 0.1, 'solver': 'sparse_cg'};0.5617858866631786;0.567430105573513;0.5460238548050482;0.5693600177646652;0.5685408776872333;0.5626281484987277;0.00871492049400276;5
0.4449594497680664;0.02548747852249296;0.00876007080078125;0.005953135716202838;0.1;sag;{'alpha': 0.1, 'solver': 'sag'};0.5617990238223978;0.5674300989633351;0.5460319875848061;0.5693607271572996;0.5685556742464;0.5626355023548477;0.008713686241326315;1
0.6035104751586914;0.0024616434455879336;0.005264472961425781;0.0016631124558146;0.1;saga;{'alpha': 0.1, 'solver': 'saga'};0.5617876925287786;0.5674293184579671;0.5460287890103839;0.5693586188351603;0.5685391221650877;0.5626287081994754;0.008712464332275589;2
0.06744351387023925;0.0024649113410311952;0.005025243759155274;5.7443660288063394e-05;1.0;svd;{'alpha': 1, 'solver': 'svd'};0.5618035906340604;0.5674203993701505;0.5460532575475137;0.5693393019563068;0.5685233362513931;0.562627977151885;0.008696728043983293;8
0.025550222396850585;0.0034182128728598273;0.004475116729736328;9.544798310173581e-05;1.0;cholesky;{'alpha': 1, 'solver': 'cholesky'};0.5618035906340604;0.5674203993701507;0.5460532575475135;0.5693393019563067;0.5685233362513931;0.562627977151885;0.00869672804398333;8
0.05532121658325195;0.013444130540524792;0.004909086227416992;0.00013195923662186966;1.0;lsqr;{'alpha': 1, 'solver': 'lsqr'};0.5618035905671721;0.5674201824970608;0.5460533966340149;0.5693391893851374;0.5685232336363261;0.5626279185439422;0.008696619841003436;10
0.03972978591918945;0.0026787591254173017;0.004761362075805664;0.00012939937263104634;1.0;sparse_cg;{'alpha': 1, 'solver': 'sparse_cg'};0.5618035932025596;0.5674204001033836;0.5460533273156711;0.5693392715155479;0.5685233366637295;0.5626279857601784;0.00869669684011484;7
0.4538735866546631;0.02699705951822833;0.004505300521850586;0.00017039024414652767;1.0;sag;{'alpha': 1, 'solver': 'sag'};0.5617724702706361;0.5674354193384853;0.5460524500778657;0.5693320635884241;0.5685221164172063;0.5626229039385235;0.008698011429321476;12
0.6112819194793702;0.044240115005108896;0.005138921737670899;0.0014742521517611034;1.0;saga;{'alpha': 1, 'solver': 'saga'};0.561805353336145;0.567419494985774;0.5460554067462466;0.5693374854264792;0.5685218008935593;0.5626279082776409;0.008695287258113943;11
0.06846432685852051;0.004571629323556826;0.004984235763549805;8.080210715488986e-05;10.0;svd;{'alpha': 10, 'solver': 'svd'};0.5619161729984365;0.5672652679825534;0.5462789637029474;0.5690774544361812;0.5682915037805194;0.5625658725801276;0.008520016178146008;13
0.02463083267211914;0.0016473275395607596;0.00454869270324707;0.0001465717535627825;10.0;cholesky;{'alpha': 10, 'solver': 'cholesky'};0.5619161729984365;0.5672652679825532;0.5462789637029475;0.5690774544361812;0.5682915037805194;0.5625658725801276;0.00852001617814594;13
0.04891500473022461;0.003992032317006567;0.007899665832519531;0.006062489483752;10.0;lsqr;{'alpha': 10, 'solver': 'lsqr'};0.5619161729263764;0.5672650515263291;0.5462790970559273;0.5690773450236999;0.5682914061310453;0.5625658145326756;0.008519911468946586;16
0.044845962524414064;0.01221754284858282;0.004935073852539063;0.00047732772388207927;10.0;sparse_cg;{'alpha': 10, 'solver': 'sparse_cg'};0.56191617140286;0.5672653350119481;0.5462789371506458;0.5690774853530085;0.5682914243829207;0.5625658706602766;0.008520027802798993;15
0.4737233638763428;0.030281219623877448;0.004454421997070313;7.057856837542745e-05;10.0;sag;{'alpha': 10, 'solver': 'sag'};0.5619254526613181;0.56724829317501;0.5462743203543494;0.5690891206752376;0.5682869176824344;0.5625648209096699;0.008520950551059163;18
0.5821510314941406;0.011060217946152376;0.004333209991455078;7.562754583231488e-05;10.0;saga;{'alpha': 10, 'solver': 'saga'};0.5619168290508147;0.5672634239680903;0.5462810298673408;0.5690740550401987;0.5682888730622203;0.562564842197733;0.008518139666251876;17
0.06487150192260742;0.00205259979897283;0.0050391674041748045;7.242392009304871e-05;100.0;svd;{'alpha': 100, 'solver': 'svd'};0.5587143827813394;0.5619562704161787;0.5439377160555432;0.5629010966323141;0.5623129664899851;0.5579644864750721;0.007162769997556583;20
0.024599504470825196;0.0015101446908161883;0.004499483108520508;0.0001418979094691666;100.0;cholesky;{'alpha': 100, 'solver': 'cholesky'};0.5587143827813396;0.5619562704161789;0.5439377160555434;0.562901096632314;0.5623129664899849;0.5579644864750721;0.00716276999755648;20
0.04609065055847168;0.0015794500362850063;0.004827117919921875;0.00016383423917922172;100.0;lsqr;{'alpha': 100, 'solver': 'lsqr'};0.5587149755745702;0.5619560756788093;0.5439378067320941;0.5628404689151335;0.5623129043457631;0.557952446249274;0.007154396980468322;24
0.03844971656799316;0.005453410104489748;0.00458674430847168;0.000125654091873535;100.0;sparse_cg;{'alpha': 100, 'solver': 'sparse_cg'};0.5587143840838179;0.5619562711770787;0.5439377323263399;0.5629010965140748;0.5623129662156197;0.5579644900633862;0.007162763687443877;19
0.4456192493438721;0.02670863275763632;0.004364824295043946;4.430779495263713e-05;100.0;sag;{'alpha': 100, 'solver': 'sag'};0.558706855931125;0.5619533349282917;0.543926637122691;0.5628978974784871;0.5623042081879459;0.5579577867297081;0.007165120279144583;22
0.562952709197998;0.010008636790892393;0.004817771911621094;0.001017917142311368;100.0;saga;{'alpha': 100, 'solver': 'saga'};0.5587088503110664;0.561948484618713;0.5439320224122344;0.5628911219067816;0.5623045920297529;0.5579570142557096;0.0071616246779084795;23
